replay_id,title,date,speakers,description,keynotes,vimeo_url,thumbnail_url,duration,category
bridging-gaps-domestic-violence-jan-2026,Bridging the Gaps: How Law Firms Can Better Support Domestic Violence Clients,2026-01-14,,How law firms can better support domestic violence clients using trauma-informed legal practices.,"Key points
• Family law often struggles to fully address the complexities of domestic violence cases, especially when abuse is emotional, psychological, financial, or coercive rather than only physical

• Trauma can affect a client’s ability to testify, participate in legal proceedings, recall details clearly, or appear “credible” in traditional legal settings

• Lawyers need stronger tools and training to identify the primary aggressor, especially in situations involving mutual allegations or complex abuse dynamics

• Domestic violence cases require a trauma-informed approach that prioritizes client safety, trust, and emotional wellbeing throughout the legal process

• Law firms can better support survivors by understanding how power, control, fear, and intimidation affect decision-making and communication

• Gender equality and intersectionality must be reflected more clearly in family law, especially for clients facing overlapping barriers such as race, immigration status, disability, income, or LGBTQ+ identity

• Better collaboration between lawyers, advocates, courts, and support services can help domestic violence clients receive more complete and effective protection

About the Panel
• Panelists will discuss how law firms can better support domestic violence clients through trauma-informed legal practice, stronger client communication, and a deeper understanding of family law challenges

• The conversation will focus on improving legal systems so survivors are heard, protected, and supported with dignity throughout their cases
",https://player.vimeo.com/video/1155032590?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,,60 min,Family Law
leadership-psychological-safety-jan-2026,"Leadership, Psychological Safety & Law Firm Wellbeing",2026-01-28,,"How leadership and culture shape mental health, safety, and performance in law firms.","Key points
• Law firms need cultures where stress, pressure, and mental health concerns can be discussed openly without fear of judgment or career consequences

• Psychological safety helps prevent errors because lawyers and staff are more likely to speak up, ask questions, raise concerns, and admit mistakes early

• Strong leadership plays a major role in law firm wellbeing — burnout prevention cannot be left only to individuals

• Mentorship can act as a mental health buffer by giving lawyers guidance, support, perspective, and a safer place to discuss challenges

• Burnout often grows when workloads, expectations, communication, and boundaries are not managed clearly by firm leadership

• A healthy law firm culture requires leaders to model openness, accountability, and realistic expectations around performance and wellbeing

• Supporting wellbeing is not separate from productivity — firms with safer, healthier cultures are better positioned to retain talent, reduce mistakes, and improve client service

About the Panel
• Panelists will discuss how law firms can build healthier workplace cultures by improving psychological safety, leadership accountability, mentorship, and burnout prevention

• The conversation will focus on practical ways law firm leaders can support mental health, encourage open communication, and create environments where lawyers and staff can do their best work without sacrificing wellbeing.
",https://player.vimeo.com/video/1160079905?h=0946fa953f,,60 min,Practice Growth
ai-vs-lawyers-feb-2026,AI vs. Lawyers: How Artificial Intelligence Is Reshaping Legal Practice,2026-02-11,Ashton Rogers|Bennett|Maura Grossman,"How AI is reshaping legal work, value, and the future role of lawyers.","Key points
• AI is not replacing lawyers wholesale — it is exposing which parts of legal work are repetitive, data-heavy, and better suited to automation

• The value of a human lawyer is shifting toward judgment, accountability, persuasion, emotional intelligence, moral responsibility, and client counseling

• AI makes legal work faster, but speed is dangerous without verification — used well, it makes good lawyers stronger; used poorly, it simply makes mistakes faster

• Technology Assisted Review was slowly tested and scientifically validated before broad adoption; generative AI has been embraced much faster, often without the same rigor

• The biggest gap between AI marketing and reality is reliability — even legal-specific tools can hallucinate, miss nuance, confuse authority, or produce subtly wrong answers

• Lawyers should think “Ironman, not Terminator” — AI should augment trained professionals, not replace the human lawyer with an automated substitute

• The future of legal work is task disaggregation — some work is AI-only, some is human-only, and some is AI-enabled, with quality-control handoffs between each stage

• Junior lawyers can no longer add value just by finding information — they must learn to ask better questions, review AI outputs, spot risk, understand bias, and exercise judgment

• AI raises the bar for legal fundamentals rather than lowering it — writing, reasoning, ethics, domain knowledge, and editing skills become more important, not less

• Traditional apprenticeship is at risk — if junior lawyers no longer do document review, drafting, and early case-building work, firms must intentionally replace those learning experiences

• The billable hour is under serious pressure because AI breaks the connection between time spent and value delivered

• Clients will expect faster work, lower cost, transparency around AI use, and no reduction in quality — and many routine tasks may move in-house

• Outside counsel guidelines are already changing — clients may refuse to pay for manual summaries, document comparisons, clause extraction, and other tasks they expect AI to assist with

• Lawyers must assume clients are using ChatGPT or similar tools to double-check their advice — the response is not defensiveness, but clearer reasoning and better proof of work

• The major ethical risks are overreliance, opacity, misplaced accountability, hallucinations, bias, confidentiality breaches, and using AI as a shield instead of a tool

• Competence and confidentiality are connected — lawyers must understand how AI tools handle data, whether information is used for training, and what client information can safely be entered

• Responsible AI adoption starts with the firm’s own pain points, not with buying whatever tool competitors are using

• The right approach is to pilot small, low-risk use cases, test carefully, build guardrails, train lawyers, and scale only after the workflow proves useful

• Future-ready lawyers combine legal fundamentals, systems thinking, ethical judgment, curiosity, skepticism, and the ability to explain how AI was used

• The winning strategy is not to compete with AI on speed — it is to compete on judgment, expertise, trust, and the human connection clients still need

About the Panel
• Ashton Rogers — host of the Dominate Law 2026 Annual Expert Panel; frames the discussion around AI, legal value, careers, economics, and ethics

• Bennett — lawyer, data scientist, former chief data scientist at DLA Piper, and CEO of Clarion AI; focuses on deploying AI as a practical, defensible, and profitable business asset for legal organizations

• Maura Grossman — research professor at the University of Waterloo and principal at Maura Grossman Law; recognized authority on Technology Assisted Review, legal AI evaluation, ethics, evidence, and the psychology of legal technology adoption
",,,60 min,AI
future-ready-family-law-feb-2026,Preparing the Future-Ready Family Law Firm: Policy Trends Lawyers Must Watch,2026-02-26,,Key policy and social shifts shaping the future of family law practice.,"Key points
• Family law is evolving as courts, clients, and policymakers continue to rethink marriage equality, gender roles, and what fairness means in modern family structures

• Lawyers must stay alert to the growing legal recognition of non-traditional partnerships, cohabitation rights, and families formed outside traditional marriage models

• Gender bias in custody, parenting time, and alimony decisions remains an important issue, requiring family lawyers to advocate for fair and evidence-based outcomes

• Legal protection for transgender and non-binary parents is becoming increasingly important as family law adapts to more diverse identities and parenting realities

• Intersectionality plays a major role in shaping equitable family policies, especially when gender, race, income, disability, immigration status, and LGBTQ+ identity overlap

• Future-ready family law firms need to understand policy shifts early so they can advise clients with confidence, sensitivity, and practical legal insight

About the Panel
• Panelists will discuss the key policy trends shaping the future of family law and how lawyers can prepare for changing client needs, family structures, and equality-focused legal standards",https://player.vimeo.com/video/1170177304?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,,60 min,Family Law
ai-era-law-firm-mar-2026,Rebuilding the Law Firm for the AI Era,2026-03-04,,"How law firms must adapt operations, training, and strategy for AI-driven practice.","Key points
• AI is changing how legal work is researched, drafted, reviewed, managed, and delivered, but it cannot replace legal judgment, strategy, ethics, or accountability

• Lawyers need to understand which tasks can be automated, which require human judgment, and which are best handled through a combination of lawyer oversight and AI support

• Legal careers and training will evolve as junior lawyers spend less time on repetitive tasks and more time developing judgment, client communication, strategy, and problem-solving skills

• Law firm economics are shifting as clients expect faster service, clearer pricing, greater efficiency, and stronger value from their legal teams

• AI adoption raises important ethical, regulatory, confidentiality, accuracy, supervision, and risk-management questions that firms must address carefully

• Future-ready lawyers will be those who can combine legal expertise with responsible AI use, strong client judgment, and the ability to adapt as legal practice changes

• Future-ready law firms will need clear systems, training, governance, pricing models, and leadership discipline to use AI effectively without weakening trust or quality

About the Panel
• Panelists will discuss how AI is reshaping legal work, law firm operations, lawyer training, client expectations, and the future of legal practice

• The conversation will focus on what lawyers and law firms must do now to adopt AI responsibly, protect client trust, manage risk, and remain competitive in the AI era.",https://player.vimeo.com/video/1170588212?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,,60 min,AI
law-firm-systems-pricing-mar-2026,"Redesigning your law firm for 2026: Systems, Pricing, and Tech That Scale",2026-03-31,David Skinner|Maribel Rivera|Joseph Tiano|Lana Manganello,"How to redesign systems, pricing, and delegation for scalable law firm growth.","Key points
• The billable hour and individual effort as the default operating model is increasingly fragile in an AI-enabled world — AI exposes that time was never a reliable proxy for value
• Clients aren't paying for hours; they're buying judgment, accountability, risk transfer, and outcomes — and the smart buyers (and sellers) of legal services are repricing on that basis
• Poor delegation quietly drains profitability — when partners hoard routine work for origination credit, juniors are underdeveloped, training breaks down, and the firm loses leverage
• AI and legal-tech adoption stalls when leadership skips the needs assessment, readiness check, gap analysis, and training — a 72% ""adoption"" stat too often means software was bought, not used
• The path forward is to disaggregate tasks into human-only, AI-only, and AI-enabled work — then reprice each at a value level instead of an hourly one
• Focus is the precondition for growth, not its competitor — without leadership actively protecting it, a firm becomes a collection of businesses that share a name and a thermostat
• Behavior follows incentives, not mission statements — cross-selling, collaboration, and associate development initiatives die when the comp model punishes the very behaviors the firm says it wants
• Virginia's November Supreme Court opinion clarifies that using AI doesn't bar value-based pricing — but lawyers must be able to explain the basis of their fees, and ABA Model Rule 1.5 has eight factors, not just one
About the Panel
• David Skinner — global leader in lean legal practice and process improvement; helps firms redesign how work flows, gets delegated, and gets priced
• Maribel Rivera — marketing strategist and community builder with deep roots in the legal industry; works across ALA membership on tech adoption and change management
• Joseph Tiano — founder of Legal Decoder; leading voice on legal tech, analytics, AI implementation, and legal-ethics-aware pricing
• Lana Manganello — business development strategist helping lawyers articulate their value, sharpen focus, and build more profitable books of business
",https://player.vimeo.com/video/1179089891?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,,60 min,Practice Growth
law-firm-control-clarity-apr-2026,"Building a Law firm with control, clarity and confidence in an unpredictable market",2026-04-09,David Skinner|Maribel Rivera|Joseph Tiano|Lana Manganello,"Building structured, scalable law firms with better control and clarity.","Key points
• The billable hour and individual effort as the default operating model is increasingly fragile in an AI-enabled world — AI exposes that time was never a reliable proxy for value
• Clients aren't paying for hours; they're buying judgment, accountability, risk transfer, and outcomes — and the smart buyers (and sellers) of legal services are repricing on that basis
• Poor delegation quietly drains profitability — when partners hoard routine work for origination credit, juniors are underdeveloped, training breaks down, and the firm loses leverage
• AI and legal-tech adoption stalls when leadership skips the needs assessment, readiness check, gap analysis, and training — a 72% """"adoption"""" stat too often means software was bought, not used
• The path forward is to disaggregate tasks into human-only, AI-only, and AI-enabled work — then reprice each at a value level instead of an hourly one
• Focus is the precondition for growth, not its competitor — without leadership actively protecting it, a firm becomes a collection of businesses that share a name and a thermostat
• Behavior follows incentives, not mission statements — cross-selling, collaboration, and associate development initiatives die when the comp model punishes the very behaviors the firm says it wants
• Virginia's November Supreme Court opinion clarifies that using AI doesn't bar value-based pricing — but lawyers must be able to explain the basis of their fees, and ABA Model Rule 1.5 has eight factors, not just one
About the Panel
• David Skinner — global leader in lean legal practice and process improvement; helps firms redesign how work flows, gets delegated, and gets priced
• Maribel Rivera — marketing strategist and community builder with deep roots in the legal industry; works across ALA membership on tech adoption and change management
• Joseph Tiano — founder of Legal Decoder; leading voice on legal tech, analytics, AI implementation, and legal-ethics-aware pricing
• Lana Manganello — business development strategist helping lawyers articulate their value, sharpen focus, and build more profitable books of business",https://player.vimeo.com/video/1181842065?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,,60 min,Practice Growth
family-law-2026-may-2026,"Family Law in 2026: New Risks, New Clients, New Opportunities",2026-05-12,,"Emerging risks, evolving client needs, and growth opportunities in family law.","Key points
• Family lawyers in 2026 will face new legal risks connected to changing family structures, financial complexity, technology, and client expectations

• New client profiles are emerging as modern families become more diverse, including blended families, cohabiting partners, LGBTQ+ parents, and non-traditional households

• Financial protection is becoming a core part of family law, especially in matters involving assets, support, business ownership, digital property, and long-term security

• Clients increasingly expect clearer communication, faster service, transparent pricing, and practical guidance throughout emotionally difficult matters

• Family law firms that adapt early can find new opportunities for growth by offering more modern, client-focused, and financially informed services

• The firms best positioned for 2026 will be those that understand both the legal risks and the changing human needs behind family law cases

About the Panel
• Panelists will discuss the major risks, client trends, and growth opportunities that family law firms should prepare for in 2026",,,60 min,Family Law
future-proof-law-firm-jun-2026,The Future-Proof Law Firm: What Lawyers Must Do to Stay Profitable,2026-06-11,,How firms can maintain profitability with changing pricing models and expectations.,"The traditional billing model is under increasing pressure as clients demand more value, transparency, and predictability from legal services

• Clients are no longer focused only on time spent — they want clear outcomes, practical advice, efficiency, and confidence in what they are paying for

• Profitability depends on balancing strong client service with realistic team capacity, sustainable workloads, and consistent performance

• Operational efficiency is becoming essential, requiring better systems, clearer workflows, and more effective delegation across the firm

• Sustainable scaling requires structure, control, and clarity so the firm can grow without creating chaos, burnout, or inconsistent service

• Future-proof firms will be those that rethink pricing, improve operations, protect their teams, and build profitability around value rather than just hours

About the Panel
• Panelists will discuss how lawyers can protect profitability, improve operations, meet changing client expectations, and build a law firm that can grow sustainably",,,60 min,Practice Growth
ai-enabled-lawyer-jun-2026,The AI-Enabled Lawyer: What Modern Legal Practice Now Demands,2026-06-23,,How lawyers must adapt to AI-integrated workflows and modern client demands.,"Key points
• AI is becoming a regular part of modern legal practice, influencing research, drafting, document review, workflow management, and client service

• Lawyers must preserve legal judgment, accountability, and client trust even as AI tools become more common in daily work

• AI can improve efficiency in drafting, review, and repetitive legal tasks, but it cannot replace professional responsibility, strategy, or human judgment

• Responsible AI use requires clear governance, risk management, confidentiality safeguards, and careful review of AI-generated work

• Client expectations are changing as clients look for faster, more efficient, and more transparent legal service

• Lawyers who understand how to use AI responsibly will be better positioned to stay competitive, improve workflows, and deliver stronger value to clients

About the Panel
• Panelists will discuss how AI is changing legal practice and what lawyers must do to use it responsibly while protecting judgment, trust, ethics, and competitiveness.",,,60 min,AI
